year,income_bracket,education,count
2021,"$2,000-$2,999 ($104,000-$155,999)",Postgraduate Degree Level,137047
2021,"$3,000-$3,499 ($156,000-$181,999)",Postgraduate Degree Level,43884
2021,"$3,500 Or More ($182,000 Or More)",Postgraduate Degree Level,111006
2021,Not Stated,Postgraduate Degree Level,4487
2021,Negative Income,Graduate Diploma and Graduate Certificate Level,337
2021,Nil Income,Graduate Diploma and Graduate Certificate Level,3613
2021,"$1-$149 ($1-$7,799)",Graduate Diploma and Graduate Certificate Level,1792
2021,"$150-$299 ($7,800-$15,599)",Graduate Diploma and Graduate Certificate Level,2828
2021,"$300-$399 ($15,600-$20,799)",Graduate Diploma and Graduate Certificate Level,4917
2021,"$400-$499 ($20,800-$25,999)",Graduate Diploma and Graduate Certificate Level,4903
2021,"$500-$649 ($26,000-$33,799)",Graduate Diploma and Graduate Certificate Level,6496
2021,"$650-$799 ($33,800-$41,599)",Graduate Diploma and Graduate Certificate Level,6788
2021,"$800-$999 ($41,600-$51,999)",Graduate Diploma and Graduate Certificate Level,9061
2021,"$1,000-$1,249 ($52,000-$64,999)",Graduate Diploma and Graduate Certificate Level,12706
2021,"$1,250-$1,499 ($65,000-$77,999)",Graduate Diploma and Graduate Certificate Level,11899
2021,"$1,500-$1,749 ($78,000-$90,999)",Graduate Diploma and Graduate Certificate Level,14719
2021,"$1,750-$1,999 ($91,000-$103,999)",Graduate Diploma and Graduate Certificate Level,15534
2021,"$2,000-$2,999 ($104,000-$155,999)",Graduate Diploma and Graduate Certificate Level,39684
2021,"$3,000-$3,499 ($156,000-$181,999)",Graduate Diploma and Graduate Certificate Level,10253
2021,"$3,500 Or More ($182,000 Or More)",Graduate Diploma and Graduate Certificate Level,21831
2021,Not Stated,Graduate Diploma and Graduate Certificate Level,843
2021,Negative Income,Bachelor Degree Level,3749
2021,Nil Income,Bachelor Degree Level,52096
2021,"$1-$149 ($1-$7,799)",Bachelor Degree Level,17408
2021,"$150-$299 ($7,800-$15,599)",Bachelor Degree Level,31916
2021,"$300-$399 ($15,600-$20,799)",Bachelor Degree Level,52160
2021,"$400-$499 ($20,800-$25,999)",Bachelor Degree Level,48026
2021,"$500-$649 ($26,000-$33,799)",Bachelor Degree Level,64665
2021,"$650-$799 ($33,800-$41,599)",Bachelor Degree Level,71171
2021,"$800-$999 ($41,600-$51,999)",Bachelor Degree Level,101773
2021,"$1,000-$1,249 ($52,000-$64,999)",Bachelor Degree Level,146941
2021,"$1,250-$1,499 ($65,000-$77,999)",Bachelor Degree Level,137853
2021,"$1,500-$1,749 ($78,000-$90,999)",Bachelor Degree Level,140505
2021,"$1,750-$1,999 ($91,000-$103,999)",Bachelor Degree Level,124388
2021,"$2,000-$2,999 ($104,000-$155,999)",Bachelor Degree Level,289358
2021,"$3,000-$3,499 ($156,000-$181,999)",Bachelor Degree Level,83233
2021,"$3,500 Or More ($182,000 Or More)",Bachelor Degree Level,186986
2021,Not Stated,Bachelor Degree Level,13206
2021,Negative Income,Advanced Diploma and Diploma Level,2888
2021,Nil Income,Advanced Diploma and Diploma Level,29392
2021,"$1-$149 ($1-$7,799)",Advanced Diploma and Diploma Level,10585
2021,"$150-$299 ($7,800-$15,599)",Advanced Diploma and Diploma Level,23159
2021,"$300-$399 ($15,600-$20,799)",Advanced Diploma and Diploma Level,41878
2021,"$400-$499 ($20,800-$25,999)",Advanced Diploma and Diploma Level,39313
2021,"$500-$649 ($26,000-$33,799)",Advanced Diploma and Diploma Level,47513
2021,"$650-$799 ($33,800-$41,599)",Advanced Diploma and Diploma Level,51405
2021,"$800-$999 ($41,600-$51,999)",Advanced Diploma and Diploma Level,71853
2021,"$1,000-$1,249 ($52,000-$64,999)",Advanced Diploma and Diploma Level,95658
2021,"$1,250-$1,499 ($65,000-$77,999)",Advanced Diploma and Diploma Level,76817
2021,"$1,500-$1,749 ($78,000-$90,999)",Advanced Diploma and Diploma Level,73634
2021,"$1,750-$1,999 ($91,000-$103,999)",Advanced Diploma and Diploma Level,60481
2021,"$2,000-$2,999 ($104,000-$155,999)",Advanced Diploma and Diploma Level,121356
2021,"$3,000-$3,499 ($156,000-$181,999)",Advanced Diploma and Diploma Level,28896
2021,"$3,500 Or More ($182,000 Or More)",Advanced Diploma and Diploma Level,43132
2021,Not Stated,Advanced Diploma and Diploma Level,6675
2021,Negative Income,Certificate III & IV Level,10370
2021,Nil Income,Certificate III & IV Level,69345
2021,"$1-$149 ($1-$7,799)",Certificate III & IV Level,28206
2021,"$150-$299 ($7,800-$15,599)",Certificate III & IV Level,70113
2021,"$300-$399 ($15,600-$20,799)",Certificate III & IV Level,152033
2021,"$400-$499 ($20,800-$25,999)",Certificate III & IV Level,124299
2021,"$500-$649 ($26,000-$33,799)",Certificate III & IV Level,122793
2021,"$650-$799 ($33,800-$41,599)",Certificate III & IV Level,135620
2021,"$800-$999 ($41,600-$51,999)",Certificate III & IV Level,205769
2021,"$1,000-$1,249 ($52,000-$64,999)",Certificate III & IV Level,291996
2021,"$1,250-$1,499 ($65,000-$77,999)",Certificate III & IV Level,236452
2021,"$1,500-$1,749 ($78,000-$90,999)",Certificate III & IV Level,208266
2021,"$1,750-$1,999 ($91,000-$103,999)",Certificate III & IV Level,148551
2021,"$2,000-$2,999 ($104,000-$155,999)",Certificate III & IV Level,229788
2021,"$3,000-$3,499 ($156,000-$181,999)",Certificate III & IV Level,48722
2021,"$3,500 Or More ($182,000 Or More)",Certificate III & IV Level,50288
2021,Not Stated,Certificate III & IV Level,37282
2021,Negative Income,Secondary Education - Years 10 and above,28816
2021,Nil Income,Secondary Education - Years 10 and above,336717
2021,"$1-$149 ($1-$7,799)",Secondary Education - Years 10 and above,144348
2021,"$150-$299 ($7,800-$15,599)",Secondary Education - Years 10 and above,200550
2021,"$300-$399 ($15,600-$20,799)",Secondary Education - Years 10 and above,258743
2021,"$400-$499 ($20,800-$25,999)",Secondary Education - Years 10 and above,230644
2021,"$500-$649 ($26,000-$33,799)",Secondary Education - Years 10 and above,229423
2021,"$650-$799 ($33,800-$41,599)",Secondary Education - Years 10 and above,224281
2021,"$800-$999 ($41,600-$51,999)",Secondary Education - Years 10 and above,285642
2021,"$1,000-$1,249 ($52,000-$64,999)",Secondary Education - Years 10 and above,291387
2021,"$1,250-$1,499 ($65,000-$77,999)",Secondary Education - Years 10 and above,186201
2021,"$1,500-$1,749 ($78,000-$90,999)",Secondary Education - Years 10 and above,143271
2021,"$1,750-$1,999 ($91,000-$103,999)",Secondary Education - Years 10 and above,94670
2021,"$2,000-$2,999 ($104,000-$155,999)",Secondary Education - Years 10 and above,137012
2021,"$3,000-$3,499 ($156,000-$181,999)",Secondary Education - Years 10 and above,29872
2021,"$3,500 Or More ($182,000 Or More)",Secondary Education - Years 10 and above,47760
2021,Not Stated,Secondary Education - Years 10 and above,72389
2021,Negative Income,Certificate I & II Level,49
2021,Nil Income,Certificate I & II Level,467
2021,"$1-$149 ($1-$7,799)",Certificate I & II Level,265
2021,"$150-$299 ($7,800-$15,599)",Certificate I & II Level,582
2021,"$300-$399 ($15,600-$20,799)",Certificate I & II Level,929
2021,"$400-$499 ($20,800-$25,999)",Certificate I & II Level,656
2021,"$500-$649 ($26,000-$33,799)",Certificate I & II Level,595
2021,"$650-$799 ($33,800-$41,599)",Certificate I & II Level,474
2021,"$800-$999 ($41,600-$51,999)",Certificate I & II Level,634
2021,"$1,000-$1,249 ($52,000-$64,999)",Certificate I & II Level,635
2021,"$1,250-$1,499 ($65,000-$77,999)",Certificate I & II Level,356
2021,"$1,500-$1,749 ($78,000-$90,999)",Certificate I & II Level,202
2021,"$1,750-$1,999 ($91,000-$103,999)",Certificate I & II Level,127
2021,"$2,000-$2,999 ($104,000-$155,999)",Certificate I & II Level,152
2021,"$3,000-$3,499 ($156,000-$181,999)",Certificate I & II Level,23
2021,"$3,500 Or More ($182,000 Or More)",Certificate I & II Level,33
2021,Not Stated,Certificate I & II Level,68
2021,Negative Income,Secondary Education - Years 9 and below,11481
2021,Nil Income,Secondary Education - Years 9 and below,140439
2021,"$1-$149 ($1-$7,799)",Secondary Education - Years 9 and below,47175
2021,"$150-$299 ($7,800-$15,599)",Secondary Education - Years 9 and below,49706
2021,"$300-$399 ($15,600-$20,799)",Secondary Education - Years 9 and below,114678
2021,"$400-$499 ($20,800-$25,999)",Secondary Education - Years 9 and below,91143
2021,"$500-$649 ($26,000-$33,799)",Secondary Education - Years 9 and below,52266
2021,"$650-$799 ($33,800-$41,599)",Secondary Education - Years 9 and below,39064
2021,"$800-$999 ($41,600-$51,999)",Secondary Education - Years 9 and below,39664
2021,"$1,000-$1,249 ($52,000-$64,999)",Secondary Education - Years 9 and below,36677
2021,"$1,250-$1,499 ($65,000-$77,999)",Secondary Education - Years 9 and below,20514
2021,"$1,500-$1,749 ($78,000-$90,999)",Secondary Education - Years 9 and below,14900
2021,"$1,750-$1,999 ($91,000-$103,999)",Secondary Education - Years 9 and below,8779
2021,"$2,000-$2,999 ($104,000-$155,999)",Secondary Education - Years 9 and below,10134
2021,"$3,000-$3,499 ($156,000-$181,999)",Secondary Education - Years 9 and below,2301
2021,"$3,500 Or More ($182,000 Or More)",Secondary Education - Years 9 and below,4465
2021,Not Stated,Secondary Education - Years 9 and below,21715
2021,Negative Income,Supplementary Codes,4270
2021,Nil Income,Supplementary Codes,21482
2021,"$1-$149 ($1-$7,799)",Supplementary Codes,6170
2021,"$150-$299 ($7,800-$15,599)",Supplementary Codes,14722
2021,"$300-$399 ($15,600-$20,799)",Supplementary Codes,29472
2021,"$400-$499 ($20,800-$25,999)",Supplementary Codes,24326
2021,"$500-$649 ($26,000-$33,799)",Supplementary Codes,20932
2021,"$650-$799 ($33,800-$41,599)",Supplementary Codes,20120
2021,"$800-$999 ($41,600-$51,999)",Supplementary Codes,25813
2021,"$1,000-$1,249 ($52,000-$64,999)",Supplementary Codes,28315
2021,"$1,250-$1,499 ($65,000-$77,999)",Supplementary Codes,19376
2021,"$1,500-$1,749 ($78,000-$90,999)",Supplementary Codes,16344
2021,"$1,750-$1,999 ($91,000-$103,999)",Supplementary Codes,11868
2021,"$2,000-$2,999 ($104,000-$155,999)",Supplementary Codes,19550
2021,"$3,000-$3,499 ($156,000-$181,999)",Supplementary Codes,5154
2021,"$3,500 Or More ($182,000 Or More)",Supplementary Codes,9380
2021,Not Stated,Supplementary Codes,6494
2021,Negative Income,Not stated,4905
2021,Nil Income,Not stated,17937
2021,"$1-$149 ($1-$7,799)",Not stated,5895
2021,"$150-$299 ($7,800-$15,599)",Not stated,14069
2021,"$300-$399 ($15,600-$20,799)",Not stated,30376
2021,"$400-$499 ($20,800-$25,999)",Not stated,27446
2021,"$500-$649 ($26,000-$33,799)",Not stated,18288
2021,"$650-$799 ($33,800-$41,599)",Not stated,16619
2021,"$800-$999 ($41,600-$51,999)",Not stated,18442
2021,"$1,000-$1,249 ($52,000-$64,999)",Not stated,18779
2021,"$1,250-$1,499 ($65,000-$77,999)",Not stated,12239
2021,"$1,500-$1,749 ($78,000-$90,999)",Not stated,10609
2021,"$1,750-$1,999 ($91,000-$103,999)",Not stated,6987
2021,"$2,000-$2,999 ($104,000-$155,999)",Not stated,10684
2021,"$3,000-$3,499 ($156,000-$181,999)",Not stated,2781
2021,"$3,500 Or More ($182,000 Or More)",Not stated,5907
2021,Not Stated,Not stated,611006
2021,Negative Income,Not applicable,0
2021,Nil Income,Not applicable,0
2021,"$1-$149 ($1-$7,799)",Not applicable,0
2021,"$150-$299 ($7,800-$15,599)",Not applicable,0
2021,"$300-$399 ($15,600-$20,799)",Not applicable,0
2021,"$400-$499 ($20,800-$25,999)",Not applicable,0
2021,"$500-$649 ($26,000-$33,799)",Not applicable,0
2021,"$650-$799 ($33,800-$41,599)",Not applicable,0
2021,"$800-$999 ($41,600-$51,999)",Not applicable,0
2021,"$1,000-$1,249 ($52,000-$64,999)",Not applicable,0
2021,"$1,250-$1,499 ($65,000-$77,999)",Not applicable,0
2021,"$1,500-$1,749 ($78,000-$90,999)",Not applicable,0
2021,"$1,750-$1,999 ($91,000-$103,999)",Not applicable,0
2021,"$2,000-$2,999 ($104,000-$155,999)",Not applicable,0
2021,"$3,000-$3,499 ($156,000-$181,999)",Not applicable,0
2021,"$3,500 Or More ($182,000 Or More)",Not applicable,0
2021,Not Stated,Not applicable,0
2021,Negative Income,Total,68298
2021,Nil Income,Total,689485
2021,"$1-$149 ($1-$7,799)",Total,267465
2021,"$150-$299 ($7,800-$15,599)",Total,416491
2021,"$300-$399 ($15,600-$20,799)",Total,699302
2021,"$400-$499 ($20,800-$25,999)",Total,605976
2021,"$500-$649 ($26,000-$33,799)",Total,587669
2021,"$650-$799 ($33,800-$41,599)",Total,592149
2021,"$800-$999 ($41,600-$51,999)",Total,798018
2021,"$1,000-$1,249 ($52,000-$64,999)",Total,978619
2021,"$1,250-$1,499 ($65,000-$77,999)",Total,753136
2021,"$1,500-$1,749 ($78,000-$90,999)",Total,677223
2021,"$1,750-$1,999 ($91,000-$103,999)",Total,522629
2021,"$2,000-$2,999 ($104,000-$155,999)",Total,994769
2021,"$3,000-$3,499 ($156,000-$181,999)",Total,255125
2021,"$3,500 Or More ($182,000 Or More)",Total,480789
2021,Not Stated,Total,774155
